Time,Pokemon,Pokemon Region,Level,Perfect IVs,Evolution Stage
17:28,Oricorio,,13,0,2
17:30,Zubat,GER,8,1,2
17:31,Carbink,,10,0,2
17:33,Klefki,,29,0,2
17:34,Luvdisc,,16,0,2
17:35,Roggenrola,SPA,10,1,2
17:36,Salandit,,19,0,2
17:38,Yungoos,,7,0,2
17:39,Wimpod,,1,3,2
17:41,Rowlet,FRE,1,5,2
17:42,Shinx,GER,1,5,2
17:44,A.Meowth,JPN,26,0,2
17:45,Mimikyu,,1,0,2
17:46,A.Geodude,,28,0,2
17:47,Salandit,SPA,17,0,2
17:48,Torkoal,,26,0,2
17:50,Trumbeak,,22,0,3
17:51,A.Vulpix,,1,2,2
17:52,Litwick,SPA,15,0,2
17:54,A.Vulpix,JPN,1,0,2
17:55,Fomantis,,15,0,2
17:56,Abra,,5,0,2
17:57,Litten,,1,0,2
17:58,A.Diglett,,11,1,2
18:00,Dratini,,24,0,2
18:02,A.Raticate,FRE,57,0,3
18:03,Trumbeak,,20,0,3
18:04,Magikarp,,12,0,2
18:05,Beldum,JPN,1,3,2
18:07,Snorunt,GER,47,0,2
18:08,Wingull,,54,0,2
18:10,Grubbin,JPN,13,0,2
18:11,Yungoos,,6,1,2
18:12,A.Raticate,,29,0,3
18:13,Rowlet,,1,4,2
18:15,Magnemite,GER,10,1,2
18:16,Grubbin,,1,0,2
18:17,Exeggcute,,43,0,2
18:19,Salandit,,22,0,2
18:19,Cubone,,16,0,2
18:21,Rowlet,,1,0,2
18:22,Salandit,,18,0,2
18:23,A.Grimer,,14,0,2
19:59,Smeargle,,1,0,2
20:01,Gastly,,7,0,2
20:02,A.Raticate,GER,40,0,3
20:03,Trapinch,,1,0,2
20:05,Trumbeak,,15,0,3
20:06,Machop,,9,1,2
20:07,Comfey,,20,0,2
20:09,Wailmer,JPN,12,1,2
20:10,Mudbray,,13,1,2
20:11,Wingull,SPA,17,0,2
20:12,Cubone,,1,3,2
20:14,Sandygast,,1,1,2
20:15,Mimikyu,,1,0,2
20:16,Abra,JPN,1,2,2
20:18,A.Geodude,,1,4,2
20:19,Shellder,KOR,1,5,2
20:20,Growlithe,SPA,8,0,2
20:21,Scyther,CHS,1,0,2
20:23,A.Diglett,,11,1,2
20:24,Yungoos,,11,0,2
20:25,Magnemite,GER,8,1,2
20:26,Pikipek,SPA,3,0,2
12:34,Sandygast,,1,5,2
12:36,Cutiefly,SPA,12,1,2
12:37,Mimikyu,,1,0,2
12:39,Spinda,,13,0,2
12:40,Rockruff,,1,0,2
12:41,Spearow,FRE,52,0,2
12:42,Mimikyu,,1,0,2
12:44,Wingull,ITA,5,0,2
12:45,Pichu,JPN,35,0,1
12:46,A.Sandshrew,FRE,1,4,2
12:48,Grubbin,KOR,5,0,2
12:49,Jangmo-o,ITA,1,0,2
12:50,Rockruff,,1,4,2
12:51,Golbat,,54,0,3
12:53,Snorunt,ITA,43,1,2
12:54,Caterpie,KOR,20,0,2
12:55,A.Sandshrew,JPN,1,2,2
12:57,Abra,,1,1,2
12:59,Butterfree,,15,0,4
13:00,Lillipup,SPA,14,0,2
13:02,Roggenrola,GER,12,0,2
13:02,Magikarp,JPN,11,0,2
13:04,Rowlet,,1,1,2
13:06,Rufflet,ITA,12,0,2
13:07,Snorunt,GER,31,0,2
13:37,Abra,,7,0,2
13:38,Abra,,1,1,2
13:39,Abra,JPN,1,0,2
13:41,Gyarados,,21,0,3
13:42,Yungoos,,3,0,2
13:43,Pelipper,CHT,30,1,3
13:44,Magikarp,,1,2,2
13:46,Popplio,JPN,1,0,2
13:47,A.Rattata,JPN,7,1,2
13:48,Abra,JPN,5,0,2
13:50,Abra,,1,1,2
13:51,Machop,,11,0,2
13:53,A.Geodude,FRE,30,0,2
13:54,Drowzee,,14,0,2
13:55,Mankey,,12,0,2
14:02,Makuhita,,10,0,2
14:04,A.Meowth,FRE,37,0,2
14:05,Gumshoos,SPA,23,0,3
14:06,Jangmo-o,,1,5,2
14:07,Wingull,,8,0,2
14:09,Boldore,FRE,42,1,3
14:11,Roggenrola,JPN,10,0,2
14:12,Abra,,1,0,2
14:13,Luvdisc,SPA,13,0,2
14:15,Bagon,CHT,1,4,2
14:16,Salandit,JPN,1,6,2
15:57,Salandit,,1,2,2
15:58,Eevee,,1,3,2
15:59,Ribombee,,57,0,3
16:01,Eevee,,1,2,2
16:02,Caterpie,CHS,1,1,2
16:03,Shellos,,1,1,2
16:05,Cottonee,JPN,13,0,2
16:06,Mudbray,,26,0,2
16:07,A.Meowth,JPN,17,0,2
16:09,Roggenrola,JPN,13,0,2
16:10,Staryu,,23,0,2
16:12,Oricorio,,11,0,2
16:13,A.Sandshrew,JPN,1,0,2
16:15,Fletchinder,,17,0,3
16:16,Spinarak,,12,0,2
16:17,A.Rattata,,8,0,2
16:18,Magikarp,SPA,18,0,2
16:19,Goomy,GER,31,2,2
16:21,Stufful,,1,4,2
16:22,Mimikyu,FRE,1,0,2
16:24,Salandit,GER,1,4,2
16:25,A.Rattata,,5,0,2
16:26,Finneon,,14,1,2
16:28,Abra,GER,1,0,2
16:29,Luvdisc,,13,0,2
16:30,Mimikyu,,1,0,2
16:31,A.Rattata,,17,0,2
16:33,Popplio,,1,0,2
16:34,Wingull,,40,0,2
16:35,Mudbray,,14,0,2
9:13,Shellder,JPN,1,0,2
9:15,Dewpider,JPN,1,0,2
9:16,Carvanha,JPN,1,0,2
9:18,Bounsweet,SPA,1,4,2
9:19,Beldum,JPN,1,3,2
9:20,Jangmo-o,,25,0,2
9:22,Staryu,KOR,27,0,2
9:23,Scyther,JPN,1,1,2
9:24,Zubat,,1,1,2
9:25,A.Diglett,JPN,11,0,2
9:27,Rockruff,JPN,1,3,2
9:28,Gible,JPN,1,2,2
9:29,Crabrawler,,14,0,2
9:30,Yungoos,,6,0,2
9:32,A.Meowth,,15,0,2
9:33,Riolu,JPN,1,3,1
9:34,Marill,JPN,1,2,2
9:36,Mudbray,,11,0,2
9:37,Abra,,1,0,2
9:38,Magnemite,JPN,50,0,2
9:40,Mudbray,JPN,23,0,2
9:41,Mareanie,JPN,1,3,2
9:42,A.Grimer,,1,3,2
9:43,Gastly,JPN,1,4,2
9:45,Fletchling,,19,0,2
9:46,Magikarp,JPN,1,1,2
9:48,Yungoos,,7,0,2
9:49,Ledyba,JPN,2,0,2
9:50,Dewpider,,1,4,2
9:51,Fomantis,JPN,15,0,2
10:24,A.Rattata,GER,5,1,2
10:25,Deino,JPN,1,4,2
10:27,Pikipek,FRE,13,1,2
10:28,Cubone,,1,4,2
10:29,Rowlet,,1,0,2
10:30,Phantump,SPA,20,0,2
10:32,Abra,JPN,1,0,2
10:34,Zubat,JPN,11,1,2
10:35,Eevee,JPN,1,2,2
10:36,A.Raticate,JPN,26,0,3
10:38,Dratini,,1,1,2
10:39,A.Geodude,SPA,27,0,2
10:40,Eevee,JPN,1,1,2
10:41,Abra,JPN,5,0,2
10:43,Wimpod,,17,0,2
10:44,Wingull,JPN,6,0,2
10:45,Lillipup,JPN,12,2,2
10:46,Glalie,,48,1,3
10:48,Bagon,,1,0,2
10:49,Pikipek,JPN,4,0,2
10:50,Mareanie,JPN,1,3,2
10:52,Stufful,JPN,1,3,2
10:53,Gible,,1,0,2
10:54,Comfey,JPN,1,3,2
10:55,Caterpie,GER,3,0,2
10:57,Dewpider,GER,1,3,2
10:58,Wingull,JPN,8,0,2
10:59,Magnemite,,6,0,2
11:01,A.Diglett,JPN,21,1,2
11:02,Oricorio,ITA,9,0,2
12:48,Staryu,JPN,23,0,2
12:49,Barboach,JPN,15,0,2
12:50,Pikipek,,3,0,2
12:51,Gible,,1,2,2
12:53,Abra,JPN,1,1,2
12:54,Mimikyu,JPN,1,3,2
12:55,Emolga,,54,2,2
12:56,Magikarp,SPA,10,0,2
12:58,A.Grimer,SPA,7,1,2
12:59,Fletchling,GER,1,0,2
13:00,Minior,,28,0,2
13:02,Absol,,1,3,2
