Time,Pokemon,Pokemon Region,Level,Perfect IVs,Evolution Stage
17:00,Oricorio,ENG,10,0 IVs,Stage2
17:00,Zubat,GER,0,1 IVs,Stage2
17:00,Carbink,ENG,10,0 IVs,Stage2
17:00,Klefki,ENG,20,0 IVs,Stage2
17:00,Luvdisc,ENG,10,0 IVs,Stage2
17:00,Roggenrola,SPA,10,1 IVs,Stage2
17:00,Salandit,ENG,10,0 IVs,Stage2
17:00,Yungoos,ENG,0,0 IVs,Stage2
17:00,Wimpod,ENG,0,3 IVs,Stage2
17:00,Rowlet,FRE,0,5 IVs,Stage2
17:00,Shinx,GER,0,5 IVs,Stage2
17:00,A.Meowth,JPN,20,0 IVs,Stage2
17:00,Mimikyu,ENG,0,0 IVs,Stage2
17:00,A.Geodude,ENG,20,0 IVs,Stage2
17:00,Salandit,SPA,10,0 IVs,Stage2
17:00,Torkoal,ENG,20,0 IVs,Stage2
17:00,Trumbeak,ENG,20,0 IVs,Stage3
17:00,A.Vulpix,ENG,0,2 IVs,Stage2
17:00,Litwick,SPA,10,0 IVs,Stage2
17:00,A.Vulpix,JPN,0,0 IVs,Stage2
17:00,Fomantis,ENG,10,0 IVs,Stage2
17:00,Abra,ENG,0,0 IVs,Stage2
17:00,Litten,ENG,0,0 IVs,Stage2
17:00,A.Diglett,ENG,10,1 IVs,Stage2
18:00,Dratini,ENG,20,0 IVs,Stage2
18:00,A.Raticate,FRE,50,0 IVs,Stage3
18:00,Trumbeak,ENG,20,0 IVs,Stage3
18:00,Magikarp,ENG,10,0 IVs,Stage2
18:00,Beldum,JPN,0,3 IVs,Stage2
18:00,Snorunt,GER,40,0 IVs,Stage2
18:00,Wingull,ENG,50,0 IVs,Stage2
18:00,Grubbin,JPN,10,0 IVs,Stage2
18:00,Yungoos,ENG,0,1 IVs,Stage2
18:00,A.Raticate,ENG,20,0 IVs,Stage3
18:00,Rowlet,ENG,0,4 IVs,Stage2
18:00,Magnemite,GER,10,1 IVs,Stage2
18:00,Grubbin,ENG,0,0 IVs,Stage2
18:00,Exeggcute,ENG,40,0 IVs,Stage2
18:00,Salandit,ENG,20,0 IVs,Stage2
18:00,Cubone,ENG,10,0 IVs,Stage2
18:00,Rowlet,ENG,0,0 IVs,Stage2
18:00,Salandit,ENG,10,0 IVs,Stage2
